囪	［囪-囱］
𦝘	腃
𦝙	腊
𦝠	騾
𦝡	腤
𦝣	頦髂
𦝧	腩
𦝩	胃
𦝪	咽
𦝫	腰
𦝬	腯
𦝭	膟
𦝮	吻
𦝯	胅
𦝴	癊
𦝵	肣
𦝶	腦
𦝸	肰
𦞃	膝
𦞄	腦
𦞅	胃
𦞇	聥
𦞊	幐
𦞋	戮
𦞕	喉
𦞜	瘜
𦞝	餼
𦞞	函
𦞠	臀
𦞣	臊
𦞤	囟胏𦛛
𦞨	宫
𦞩	胤
𦞪	脀
𦞬	腱筋
𦞯	嗜
𦞽	胃𦠾
𦞾	臇
𦞿	腕
𦟀	騾
𦟁	朚
𦟅	臊
𦟔	胵
𦟘	夤
𦟛	傭
𦟝	脊
𦟢	脣
𦟤	饈
𦟥	遯
𦟦	膜
𦟯	肋
𦟰	齇
𦟱	縮
𦟲	昏
𦟳	醵
𦠁	炙
𦠃	臍
𦠄	肌𦢍
𦠆	䐣饌
𦠉	饐
𦠊	腦
𦠋	治
𦠌	胹
𦠍	齶
𦠕	臍
𦠗	脊
𦠝	瘤
𦠡	昔
𦠤	腦
𦠨	臊
𦠪	腊
𦠫	嫩
𦠬	臇
𦡀	膝
𦡃	腝
𦡈	癰
𦡊	胮
𦡘	腄
𦡚	臃
𦡛	膹
𦡜	臂
𦡩	膝
𦡬	黐
𦡳	臘
𦡴	疛
𦡶	餡
𦡸	膩
𦡺	癭
𦡻	痭
𦢅	螣
𦢋	羹
𦢌	殰
𦢚	膚
𦢜	臐
𦢝	瘦
𦢣	繭
𦢥	臇
𦢦	酥
𦢨	燖
𦢪	髓
𦢮	髖
𦢯	脪臖
𦢰	臖
𦢸	膊
𦢹	羹
𦢻	膺
𦢼	贏
𦢿	臇𤼒
𦣁	膘
𦣄	羸
𦣈	膊
𦣉	羸
𦣊	臡
𦣐	臠
𦣑	酥
𦣓	脰
𦣔	裸
𦣝	頤
𦣠	望
𦣣	臧
𦣤	巸
𦣪	鹽塩
𦣮	孤
𦣲	臨
𦣷	臨
𦣹	自
𦣺	白
𦣻	百首
𦣼	自
𦣽	惠
𦣿	京
𦤃	皇
𦤉	船
𦤍	皇
𦤐	皇
𦤒	終
𦤓	鼻
𦤔	臱
𦤗	皋
𦤘	庸
𦤜	悟
𦤞	臲
𦤡	鄓䭂
𦤦	𩡔餀
𦤲	佛
𦤳	至
𦤴	至
𦤵	至
𦤹	致
𦤼	屋臺
𦥂	屋
𦥅	絰
𦥆	握
𦥉	齬
𦥎	輊
𦥑	匊舉裒
𦥒	齒
𦥔	申
𦥘	貶
𦥛	臿
𦥝	舀
𦥞	舀
𦥟	舀
𦥠	舁
𦥧	貶
𦥩	鼠
𦥮	爲
𦥴	舂
𦥵	舀
𦥶	舅
𦥷	興
𦥸	與
𦥼	要
𦥿	焰
𦦀	申
𦦂	齒
𦦈	臿
𦦉	遷
𦦋	垔
𦦏	齏
𦦕	欱歃
𦦙	舉
𦦚	寅
𦦤	農
𦦥	農
𦦦	喪
𦦬	讓
𦦰	搗
𦦱	臿
𦦲	與
𦦶	壤
𦦺	搗
𦦼	溲
𦦾	搗
𦧂	遷
𦧄	塵
𦧇	舐
𦧈	噤𤘡𦧎䶖
𦧊	吮
𦧓	舐
𦧕	詹
𦧗	憩
𦧟	狧𦧥
𦧦	辭
𦧧	舐
𦧩	甜
𦧫	舐
𦧰	憩
𦧴	噒
𦧵	話
𦧶	舍
𦧻	舚饞
𦨁	葟
𦨄	葟
𦨈	服𦨊
𦨉	仡䑢
𦨐	舦
𦨔	肕
𦨕	服
𦨗	般
𦨟	觶
𦨧	艒
𦨱	津
𦨲	𣔶𦨌舧
𦨴	艟
𦨵	航
𦨶	朕
𦨷	筏
𦨿	艇
𦩇	艐
𦩊	艗
𦩍	舠𦨣
𦩎	朕
𦩏	津
𦩗	朕
𦩟	服
𦩦	津
𦩨	津
𦩩	媵
𦩫	幐
𦩻	朝
𦩽	艏
𦪁	艘
𦪄	艎
𦪅	艇
𦪉	津
𦪎	舽
𦪑	橃筏
𦪘	橛
𦪛	橈
𦪤	艕
𦪩	舲
𦪪	篷
𦪮	艖
𦪱	濟
𦪶	欚
𦪷	艒
𦪸	艖
𦫀	滕騰
𦫃	舲𦫄
𦫅	艖
𦫆	欚
𦫇	臒
𦫈	欚
𦫊	舲
𦫋	氓
𦫍	剆
𦫒	艱
𦫓	皵
𦫗	皰
𦫛	艴
𦫜	赩
𦫝	皴
𦫞	顔
𦫢	豔
𦫱	皰
𦫴	也
𦫶	穋芁𦫷𦭋
𦫹	友
𦫿	艾
𦬀	也
𦬆	芒
𦬇	舉茻
𦬈	芞
𦬉	芥
𦬘	菘
𦬙	攴
𦬝	芾
𦬟	萁
𦬠	茻
𦬡	萃
𦬣	菵
𦬼	苶
𦬽	葆
𦬿	蒯
𦭀	死
𦭂	菅
𦭃	萍
𦭅	乖
𦭆	蒼
𦭇	施
𦭍	芻
𦭝	苜
𦭞	茇
𦭠	蹌
𦭣	腦
𦭤	菵
𦭱	丵
𦭷	麰
𦮀	莌
𦮂	蓍
𦮃	乖
𦮄	莔
𦮅	莫
𦮉	茆
𦮋	荒
𦮍	蒯
𦮎	蕻
𦮏	次
𦮓	荆
𦮼	𦯡萁
𦮿	葋
𦯁	囤
𦯂	菽
𦯄	茆
𦯆	茆
𦯇	茺
𦯊	芵
𦯋	茿
𦯎	葱
𦯑	皁
𦯓	菹
𦯔	荑
𦯗	苟
𦯠	薍
𦯢	荈
𦯥	萓
𦯦	藐
𦯧	葉
𦯨	草
𦯩	荽
𦯪	芍
𦯮	芼
𦯲	葉
𦯴	伊
𦰗	華
𦰘	厎茋𦮈
𦰚	沃
𦰝	荓
𦰞	莜
𦰨	菆
𦰵	蒯
𦰶	苟
𦰷	蔤
𦰼	莋
𦱉	龍
𦱋	莔
𦱎	蒔
𦱐	荒
𦱑	秈
𦱗	蒔
𦱘	蒡
𦱙	莥
𦱚	芸
𦱛	瞢
𦱜	芍
𦱝	茢
𦱞	莓
𦱠	莽
𦱡	若
𦱤	莫
𦱥	萐
𦱦	董
𦱩	亟
𦱪	芻
𦱬	葬
𦱮	秉
𦱳	茲
𦱴	莫
𦱶	若
𦱸	龍
𦱹	共
𦱻	芻
𦱼	葬
𦲬	麻
𦲭	葺
𦲱	磻
𦲳	葬
𦳁	芼
𦳂	洟
𦳅	萸
𦳆	萒
𦳈	𦱔蓖
𦳊	屎
𦳋	蒯
𦳌	芨
𦳎	菹
𦳒	藎
𦳕	草
𦳖	藀
𦳠	癹
𦳤	藨
𦳦	栽
𦳪	蓀
𦳱	皁
𦳲	葝
𦳴	葜
𦳶	莔
𦳺	茇
𦳼	爇
𦴁	瞢
𦴄	苜
𦴅	荾
𦴆	苟
𦴈	若
𦴋	夢
𦴏	絣
𦴒	享
𦴓	葬
𦴔	瞢
𦴕	蘀
𦴘	解
𦴙	黎
𦴛	茜
𦵒	萩
𦵓	篅
𦵔	菹
𦵕	亘
𦵢	薅
𦵥	蔚
𦵦	蔋𧀝
𦵨	薇
𦵩	湭糟
𦵭	葰
𦵮	薛
𦵰	菑
𦵵	蕕
𦵶	茿
𦵹	菼
𦵻	茜
𦶁	蕡
𦶃	蓖
𦶆	莥
𦶉	茈
𦶊	萍
𦶒	渮
𦶓	蕻
𦶔	葋
𦶖	虆
𦶘	菤
𦶛	莫
𦷓	秸
𦷔	蔖
𦷖	軛
𦷗	薑
𦷘	證
𦷚	葸
𦷝	芻
𦷟	莦
𦷡	葵
𦷣	草
𦷱	葥
𦷲	蒵
𦸀	藄
𦸃	菣
𦸋	蔊
𦸌	莞
𦸍	莌
𦸎	蒔
𦸏	蓑
𦸑	蔑
𦸒	稦
𦸕	毒
𦸜	菑
𦸝	藤
𦸞	蜜
𦸟	葬
𦸤	蕞
𦸦	葧
𦸧	堇
𦸨	堇
𦸩	蓽
𦸫	菎
𦸬	春
𦸮	葴
𦸯	莘
𦸳	蓐
𦸴	苵
𦸹	艽
𦹁	葉
𦹡	殍
𦹤	蒨
𦹥	蔭
𦹧	簋篸
𦹨	證
𦹩	萌
𦹾	耄
𦹿	葰
𦺂	葩
𦺇	竹䓯
𦺈	蓀
𦺍	葥
𦺏	茭
𦺕	蘬
𦺙	黎
𦺚	薵
𦺛	猭
𦺤	葇
𦺪	藷
𦺫	莨
𦺮	萸
𦺰	蓧
𦺳	薏
𦺸	燐𥳞
𦺼	蔭
𦺿	蘵
𦻁	萏
𦻂	薞
𦻄	葏
𦻆	藄
𦻇	惠
𦻈	薄
𦻉	菔
𦻊	莊
𦻋	堇
𦻌	簠
𦻍	堇
𦼌	年
𦼑	蓿
𦼒	蔘
𦼬	菹
𦼮	秆𦾮
𦼯	穟
𦼺	苵
𦼻	葿
𦼼	篽
𦼽	芰
𦼾	菗
𦽆	孽
𦽈	蕕
𦽉	菼
𦽌	葍
𦽑	稕
𦽛	蔻
𦽝	蓏
𦽞	薍
𦽟	萹
𦽠	蔜
𦽡	耄
𦽥	榛
𦽦	蔓
𦽧	莠
𦽨	茭
𦽩	揉
𦽯	亟
𦽱	葬
𦾐	藍
𦾑	飄
𦾒	秣
𦾓	華
𦾔	旧舊
𦾖	蔤
𦾗	藎
𦾛	韡
𦾝	蒼
𦾞	盝
𦾮	秆𦼮
𦾯	菉
𦾱	摷
𦾴	蘩
𦾷	蓼
𦿆	菪
𦿈	蘥
𦿉	餕
𦿋	藒
𦿌	虆
𦿑	葬
𦿒	榛
𦿔	蔽
𦿗	耄
𦿘	菹
𦿙	蘀
𧀃	蕀
𧀅	秣𥣫
𧀈	茜
𧀉	藻
𧀋	蘑
𧀗	菑
𧀛	藣
𧀢	屧
𧀦	𦷕蓾
𧀫	薚
𧀳	蕼
𧀵	蔪
𧀶	疐
𧀹	蔗
𧀼	薛
𧀽	菹
𧀾	蕛
𧁃	蓄
𧁄	葥
𧁅	證
𧁆	證
𧁇	若
𧁌	夢
𧁎	夔
𧁰	藑
𧁱	荻
𧁲	芹
𧁳	驥
𧁽	菱
𧂀	藐
𧂃	莟
𧂄	萏
𧂇	蕁𧀷𧂗
𧂊	薤
𧂌	蕣
𧂍	蓀𦽙
𧂎	薧
𧂑	薦
𧂓	馳
𧂕	耄
𧂙	蕮
𧂜	蔞
𧂟	蕢
𧂥	葬
𧃊	饌
𧃏	歜
𧃓	菊
𧃔	藋
𧃕	藆
𧃖	韱
𧃡	藻
𧃣	菎
𧃤	藎
𧃧	蘪
𧃫	藉
𧃮	燐
𧃰	夔
𧄎	蘨
𧄕	蘵
𧄖	蔈
𧄘	藙
𧄜	蕊
𧄣	燒
𧄯	寤
𧄸	虋
𧄾	藣
𧅁	薑
𧅂	藻
𧅈	藋
𧅉	藭
𧅊	菱
𧅓	藭
𧅖	𧄷虉鷊
𧅙	藙
𧅛	藋
𧅜	櫬
𧅝	蓸
𧅞	聚
𧅡	秸
𧅩	撏
𧅪	蠢
𧅱	齏
𧅸	蕈
𧅽	醢
𧅾	虋
𧆆	礿
𧆈	藙
𧆊	虌
𧆋	燃
𧆑	藿
𧆒	歡
𧆓	麤
𧆗	醢
𧆙	蓀
𧆝	虐
𧆞	虎
𧆣	盧𤮧𤴅𧆨𧆭𧇄𧇏𧈕罏
𧆥	柙狎䖖
𧆧	虐
𧆩	虐
𧆪	虖
𧆰	子
𧆱	虐
𧆷	公
𧆼	冬𧈆
𧆾	虡
𧇁	虍
𧇂	虎
𧇃	虨
𧇆	虡
𧇌	同
𧇎	合
𧇐	虪
𧇑	虣
𧇒	虣
𧇔	凱
𧇘	詛
𧇙	男
𧇚	伯
𧇤	處
𧇭	虣
𧇮	和
𧇯	季
𧇱	䖗麙
𧇲	烘
𧇶	春
𧇸	秋
𧇹	侯
𧇺	烘
𧇽	虡
𧇾	虧
𧇿	粗
𧈀	靈
𧈄	夏
𧈅	虩
𧈇	虨
𧈉	霸
𧈋	菟
𧈐	饕
𧈙	壽
𧈠	蚤
𧈧	雖
𧈨	蚩
𧈩	蟘
𧈫	虹
𧈬	虹
𧈯	虶
𧈰	虫
𧈺	蟘
𧈼	蜥
𧈿	魍
𧉂	蚕
𧉄	蝒
𧉅	蛜
𧉇	虺
𧉈	蜉
𧉉	毒
𧉌	蚩
𧉍	尐
𧉏	蠶
𧉗	蚖𧔞
𧉛	螮
𧉜	蚔
𧉠	蛓
𧉥	北
𧉦	蚏
𧉧	蜐鼁
𧉨	蛩
𧉬	蚊
𧉮	蛇
𧉰	蜓
𧉲	蝷
𧉳	蚌
𧉴	蜜
𧉵	蚅
𧉶	蛀
𧊆	蚹
𧊇	蚮
𧊈	蚊
𧊓	蜩
𧊗	餌
𧊛	蚼
𧊜	鰐
𧊝	蠚
𧊠	𧍳蝓
𧊡	蛩
𧊤	蜴
𧊧	蛤
𧊩	蜂
𧊫	螝
𧊮	蛩
𧊰	蛜
𧊿	蛚
𧋈	豸
𧋉	螇
𧋋	鼯
𧋌	蠹
𧋍	螮
𧋒	螫赨
𧋗	蚳
𧋛	蛷
𧋜	蝨
𧋝	蝶
𧋞	蝶
𧋟	蛑
𧋠	蠡
𧋯	蛩
𧋳	蛩
𧋴	蠭
𧌊	蝑
𧌋	蝑
𧌒	蜮
𧌓	蛗
𧌕	蝣
𧌖	蝑
𧌛	蛗
𧌜	螿
𧌟	蚪
𧌡	蝨
𧌤	蜭
𧌥	蜥
𧌦	虻
𧌨	蜥
𧌩	蠶
𧌪	蛩
𧌫	虹
𧌭	螔
𧌻	蚣
𧌿	蝂
𧍃	蜚
𧍓	蟀
𧍗	蠚
𧍚	蛔
𧍛	蛹
𧍞	鰐
𧍟	蝥
𧍡	蠈
𧍢	蚓蜒
𧍣	蠆
𧍤	蛓
𧍧	螊
𧍱	螲
𧍸	螽
𧍹	蝒
𧍺	虹
𧍼	蛚
𧍽	蟻
𧍿	蜓
𧎀	蜥
𧎁	蚧
𧎂	蝦
𧎄	蝥
𧎔	蟒
𧎗	蝌
𧎘	蜒
𧎞	蚌
𧎢	蟘
𧎦	蛩
𧎩	虴蚱
𧎪	蚔
𧎬	蟘
𧎮	蚤
𧎶	蟣
𧎻	蝥蟊
𧎼	珧
𧎿	螏
𧏀	蛓
𧏁	蚳
𧏅	螫
𧏇	劙
𧏈	蝒
𧏉	蟒
𧏌	螯
𧏍	螄
𧏎	蚊
𧏏	蛆
𧏒	蛩
𧏕	螔
𧏤	茿
𧏦	蠕
𧏩	螝
𧏪	蟘
𧏬	嗤
𧏺	蚼
𧏼	蛀
𧏽	蠮
𧏿	蚰
𧐀	蠰
𧐂	蝕
𧐄	螸
𧐅	蛆
𧐇	螱
𧐉	蜘
𧐏	蚳
𧐕	鱄
𧐙	蝥
𧐚	蟅
𧐛	蝮
𧐜	螜
𧐝	蚪
𧐭	螫
𧐮	螹
𧐳	螰
𧐵	蚪
𧐷	蠮
𧑄	螽
𧑅	蚏
𧑆	蝩
𧑇	蟍
𧑏	蠾
𧑘	盪蕩
𧑞	螣
𧑢	蟻
𧑣	蟯
𧑥	螣
𧑨	蛪
𧑪	蟠
𧑬	螽
𧑭	蜇
𧑮	蠕
𧑯	蠶
𧑱	蜇
𧑴	龜
𧒃	蛘
𧒎	蛾
𧒏	蜃
𧒐	蠮
𧒒	蜂
𧒓	蟋
𧒔	蛷
𧒘	蜾
𧒙	蛗
𧒞	猬
𧒟	螽
𧒢	蝨
𧒣	蠥
𧒤	蝎
𧒥	螯
𧒦	蟄
𧒧	蜜
𧒩	螗
𧒼	蟿
𧒾	蟷
𧒿	賊
𧓃	蝎
𧓉	蠐
𧓊	蜚
𧓌	螢
𧓍	玭
𧓎	螕𧌠蜱
𧓑	蚔
𧓒	蚓
𧓔	蜻
𧓗	螔
𧓙	蟠
𧓚	蝎
𧓛	蟥
𧓜	蠹
𧓝	玭
𧓞	蜾
𧓟	蠢
𧓫	蜜
𧓬	蠵
𧓳	蛭
𧓵	蠆
𧓶	蜂
𧓷	蠽
𧓹	蚊
𧓼	蟱
𧓽	礪蠆
𧓾	蠵
𧓿	蟊
𧔀	蝡
𧔄	蝎
𧔅	嗽
𧔆	蚍
𧔇	蠕
𧔈	蠲
𧔘	蠉
𧔞	𧉗螈𧏐𧕜
𧔟	螣
𧔧	蠭
𧔨	蟊
𧔫	蜳
𧔬	蠹
𧔭	蟗
𧔮	蟻
𧔯	蚍
𧔱	蠆
𧔲	螟
𧔶	螣
𧔻	蚍
𧕅	蛉
𧕈	螱
𧕉	螇
𧕊	蜨
𧕎	螶
𧕐	螬
𧕑	蟊
𧕒	蜚
𧕔	蝎
𧕕	蝱
𧕠	螽
𧕩	融
𧕫	鸓
𧕰	蜉
𧕳	蠃
𧕵	蜜
𧕶	蟻
𧕷	蠢
𧕹	蠢
𧕽	蠶
𧕾	蠽
𧕿	蜚
𧖀	蠿
𧖁	蚊蝎
𧖄	蠣
𧖅	蜜
𧖆	蟽
𧖈	蚍
𧖊	蠐
𧖋	蟫
𧖌	蠹
𧖍	螣
𧖎	蚍
𧖑	强
𧖓	融
𧖕	蚍
𧖖	蠻
𧖗	蠰
𧖙	蜆
𧖚	蜉
𧖝	蟭
𧖞	鱣
𧖤	螬
𧖩	衄
𧖭	衁
𧖴	脉
𧖶	醓
𧖷	惄衄
𧖸	盟
𧖹	脉
𧖺	醓
𧖼	嘔
𧖽	盟
𧗁	津𧗃盡
𧗂	惄
𧗄	監
𧗑	盩
𧗒	刏禨𧗇𦏑
𧗔	朘
𧗕	膿
𧗗	衄
𧗘	𧗎菹
𧗙	衋
𧗚	衋
𧗞	行
𧗟	行
𧗣	衡
𧗧	往
𧗨	御
𧗪	御衢
𧗬	微
𧗭	愆
𧗱	術
𧗲	徵
𧗳	衒
𧗵	率
𧗺	愆
𧗻	禦
𧗿	率
𧘂	衝
𧘄	導
𧘅	衏
𧘆	衢
𧘉	裔
𧘊	裔
𧘋	襻
𧘏	躬
𧘐	袥
𧘒	襻
𧘘	衧
𧘙	襻
𧘚	衧
𧘝	表
𧘟	袚
𧘠	衯
𧘡	褾
𧘣	袾
𧘤	袧
𧘥	紐
𧘦	表
𧘪	邪
𧘬	襻
𧘭	衾
𧘯	裔
𧘰	表
𧘵	襻
𧘶	救
𧘷	衸
𧙂	袚
𧙄	袚
𧙇	衴
𧙊	裀
𧙋	只
𧙌	袍
𧙍	袠
𧙎	袧
𧙏	袖
𧙐	衾
𧙜	裝
𧙟	袣
𧙥	襱
𧙩	裂
𧙪	褢
𧙯	裷
𧙰	衮
𧙷	裂
𧙹	禍
𧚇	絻
𧚈	帺
𧚌	裝
𧚍	裘
𧚛	裻
𧚜	褫
𧚝	裁
𧚞	裔
𧚤	袳
𧚦	褋
𧚧	帢
𧚨	𧚪緁
𧚫	旌
𧚰	綴
𧚱	襃
𧚲	裂
𧚳	製
𧚴	襁
𧚸	繃
𧚹	衮
𧚺	褷
𧛁	齎
𧛂	禍
𧛃	稛
𧛅	袳
𧛐	幄
𧛑	裀
𧛓	褰
𧛕	帽
𧛖	衪
𧛘	襋
𧛙	襃
𧛛	襟
𧛠	裓
𧛡	縿
𧛣	袈
𧛤	衳
𧛥	褠
𧛦	囊
𧛧	袳
𧛨	裔
𧛩	袧
𧛬	裙
𧛲	裔
𧛴	襈
𧛵	裂
𧛽	褽
𧜀	幦
𧜆	襛
𧜎	襷
𧜓	禍
𧜞	幔
𧜟	裔
𧜢	衳
𧜪	襃
𧜫	表
𧜭	襡
𧜮	襊
𧜯	襃
𧜰	複
𧜼	褺
𧝄	襦
𧝅	毾
𧝋	橔
𧝌	襐
𧝎	重
𧝐	褅䙗
𧝑	𧝣襢
𧝓	禫
𧝙	褚
𧝛	傀
𧝬	幣襒
𧝭	襀
𧝱	褰
𧝳	繳
𧝴	裻
𧝵	褋
𧝶	褐
𧝹	裸
𧝺	袤
𧝼	褾
𧝽	褐
𧝾	襃
𧝿	襁
𧞂	襄
𧞉	袤
𧞖	褍
𧞜	襄
𧞟	襜
𧞢	緷
𧞦	襐
𧞱	表
𧞷	懷
𧞸	襚
𧞻	襄
𧞼	褰
𧟂	襁
𧟅	襡
𧟈	褾
𧟊	襮
𧟍	襬
𧟏	衮
𧟐	襺
𧟒	襛
𧟔	褿
𧟖	衫
𧟗	衮
𧟘	儾
𧟙	袊䙥
𧟛	襲
𧟞	複
𧟟	襲
𧟩	覃
𧟪	珍
𧟯	虧
𧟰	覅
𧟲	霸
𧟳	霸
𧟴	庚
𧟹	覃
𧟼	烓
𧟽	罷
𧟿	聖
𧠄	羈
𧠊	冒㒻
𧠍	親
𧠐	覎
𧠑	覒
𧠘	覓
𧠙	覓
𧠝	診
𧠢	覰
𧠧	脉
𧠨	覓
𧠫	眣眰覿
𧠭	覺
𧠮	唤
𧠷	覺
𧠸	親
𧠹	規
𧡅	覝
𧡋	睚𧡞𧢏
𧡎	睨
𧡒	覛
𧡓	覼
𧡘	䚉親
𧡝	覥
𧡟	競
𧡠	覝
𧡧	竀
𧡨	𥉘題
𧡪	眈
𧡫	睽瞡
𧡭	題
𧡷	覞
𧡻	靦
𧡽	賴
𧡾	覞
𧡿	親
𧢃	瞜
𧢅	閲
𧢍	瞥
𧢒	覹
𧢓	覹
𧢚	覲
𧢢	矅𥌉𥌺
𧢨	瞟
𧢪	觀
𧢲	角
𧢳	觓
𧢷	釵
𧢻	觸
𧢼	觔
𧣀	捔
𧣄	觶
𧣈	觸
𧣊	斤觔
𧣎	觝
𧣒	距
𧣓	觝
𧣔	觷
𧣖	犐
𧣗	觚
𧣙	鯀
𧣜	觝
𧣨	觶
𧣫	擉
𧣯	觢
𧣴	琖
𧣶	兕
𧣻	距
𧣽	觿
𧤄	兕
𧤅	滭觱
𧤋	彝
𧤌	觰
𧤗	貒𧤬
𧤜	觻
𧤝	觓
𧤢	觿
𧤩	鰥
𧤪	觿
𧤯	摑
𧤰	斛
𧤱	觲
𧤲	觝
𧤶	觝
𧤺	觰
𧤽	籆
𧤿	殺
𧥀	觱
𧥁	觿
𧥄	戢𧤏
𧥆	觫
𧥍	鑣
𧥎	𧤾鐍
𧥑	觱
𧥘	觸
𧥝	詞
𧥠	訄
𧥡	誕
𧥢	誇
𧥣	叩
𧥥	訓
𧥨	詍
𧥩	訧
𧥪	詽
𧥫	訰
𧥬	訉
𧥮	𧥯詆
𧥳	詩
𧥶	誑
𧥷	訖
𧥺	訇韻
𧥻	訇
𧥽	諅
𧥾	識
𧥿	訓𣵧
𧦁	呬
𧦅	謳
𧦏	訰
𧦐	詽
𧦒	詆
𧦓	訴
𧦗	謡
𧦘	誷
𧦙	訩
𧦚	詆
𧦜	診
𧦞	布
𧦠	呃
𧦡	訴
𧦢	呺
𧦣	佞
𧦥	謀
𧦨	詉
𧦩	訑
𧦫	詒
𧦭	詑
𧦺	詆
𧦽	診
𧦾	訣
𧧂	診
𧧄	妄
𧧅	諫
𧧌	寂
𧧍	哂
𧧏	喏
𧧐	訹
𧧑	諺
𧧓	恤
𧧖	咎
𧧗	詾
𧧘	説
𧧙	誥
𧧚	訕
𧧜	罔
𧧞	誥
𧧡	訟
𧧧	詈
𧧪	訕
𧧬	戠
𧧭	誇
𧧮	詤
𧧱	録
𧧲	詄
𧧳	誇
𧧴	譀
𧧷	救
𧧹	徯
𧧺	紕𧫔
𧧻	詐𧩳
𧧼	誼
𧧿	教
𧨁	嗟
𧨂	呵
𧨃	鬩
𧨅	善
𧨆	詤誣
𧨇	誺
𧨈	誣靈
𧨘	謡
𧨙	誂
𧨛	詪
𧨜	涓
𧨝	詗
𧨞	謑
𧨢	詳
𧨣	訥
𧨥	話
𧨦	謚
𧨨	謐
𧨬	諀
𧨭	監
𧨯	諜
𧨱	詆𧧫
𧨶	妖
𧨺	識
𧨻	計
𧨼	訊
𧨽	詂
𧩀	謻
𧩁	言
𧩂	謗
𧩄	誣
𧩇	諠
𧩐	諕
𧩑	諝
𧩔	訴
𧩖	謅
𧩘	詡
𧩛	詢
𧩜	諜
𧩞	諏
𧩠	諷
𧩡	讜
𧩢	訾
𧩤	詯
𧩥	詈
𧩪	𧩟謥
𧩫	詫譇
𧩮	謏𧨠
𧩯	訴
𧩴	誺
𧩵	辯
𧩸	諳
𧩹	訑
𧩺	懇
𧩻	諏
𧩽	諄
𧩾	監
𧩿	譔
𧪀	譸
𧪂	詢
𧪃	訪
𧪄	記
𧪅	詉
𧪆	訶
𧪇	劑
𧪔	辯
𧪖	誡
𧪘	嗟𧭨
𧪜	訴
𧪞	嗑
𧪟	誻
𧪠	嫉
𧪤	謇
𧪩	息
𧪮	謣譁
𧪰	嗟
𧪱	詢
𧪳	諰
𧪴	誑
𧪵	謉
𧪶	誖
𧪸	講
𧪺	論
𧫉	詿
𧫋	訴
𧫌	譾
𧫍	諻
𧫏	謉
𧫐	諝
𧫒	諕
𧫕	詧𧭂
𧫖	讄
𧫗	訍
𧫘	競
𧫙	競
𧫚	諦
𧫟	謑
𧫤	畢䟆
𧫥	誝
𧫦	繄䚷
𧫧	諳
𧫨	謙
𧫪	謔
𧫫	譀
𧫭	譜
𧫯	嗟
𧫰	誱
𧫲	諞
𧫷	速
𧫸	詖
𧫽	謶
𧬀	讄
𧬃	譅
𧬄	謝
𧬉	謈
𧬊	嘶𧪷諅𧬜
𧬍	謫
𧬎	讈
𧬐	譳
𧬑	嗟
𧬒	謾
𧬓	謺
𧬔	諅
𧬟	訾
𧬡	諈
𧬢	諎
𧬣	識
𧬪	謴
𧬭	諣
𧬮	詿
𧬯	謇
𧬰	曏響
𧬲	詘
𧬳	譯
𧬴	謂
𧬵	諕
𧭁	謷
𧭃	擔
𧭆	讑
𧭉	診
𧭐	譺
𧭑	詿
𧭒	譽
𧭖	議
𧭛	譶
𧭢	讜
𧭤	謈𡅜𧮔
𧭦	譞
𧭧	謶
𧭩	謹
𧭫	諄
𧭭	應
𧭴	譞
𧭶	諴
𧭷	諸
𧭺	諄
𧭽	繕
𧮄	讗
𧮆	謍
𧮈	謇
𧮉	譁
𧮎	謇
𧮐	讔
𧮒	噫
𧮘	諢
𧮛	謧
𧮜	讝
𧮟	善
𧮣	誩
𧮥	喧
𧮦	譶
𧮨	讓
𧮩	讋
𧮫	谷𠶸臄
𧮬	𠊬谻郄
𧮭	𠊬谻
𧮮	阡
𧮯	谹
𧮰	谽
𧮷	谻
𧮸	壑
𧮾	磎谿嵠溪渓
𧯆	豁
𧯇	豅
𧯈	隙
𧯊	隙
𧯋	谺
𧯒	噂
𧯓	谺
𧯕	浚
𧯘	豃
𧯚	豆
𧯜	豆
𧯝	豆
𧯞	鬭
𧯠	剅
𧯡	豌𩜌
𧯧	塏
𧯪	豍
𧯬	頸
𧯭	豋
𧯮	豐
𧯯	萁
𧯳	豌
𧯷	卺
𧯻	嚭
𧯿	鼙
𧰂	遢
𧰅	豑
𧰍	登
𧰐	登
𧰕	愨
𧰙	剴磑
𧰟	豔
𧰧	豕
𧰨	攀
𧰬	豕豗
𧰭	豚
𧰯	熊
𧰵	𢽚厾㧻
𧰶	豛
𧰼	象
𧰽	兕
𧱁	狪
𧱂	豲
𧱃	兕
𧱉	豗
𧱋	魅
𧱌	嫁
𧱏	豙
𧱐	哮㹲
𧱑	豠
𧱓	狵𧳑𧱦
𧱔	豚
𧱕	豛
𧱖	豲
𧱗	豤
𧱚	豣
𧱟	豤
𧱭	豬
𧱮	豚
𧱯	豚
𧱱	豥
𧱴	猽
𧱶	鳳
𧲀	豣
𧲅	橧
𧲏	豩
𧲐	豰
𧲓	豵
𧲛	薦
𧲟	昆
𧲦	貉
𧲧	豝
𧲨	豣
𧲩	貈
𧲪	貉
𧲰	貙
𧲲	狐
𧲿	狗
𧳃	豸
𧳆	狪
𧳇	貉
𧳊	獬
𧳐	豨
𧳒	貌
𧳔	貆
𧳖	貌
𧳙	㹭𤝽𧱇貄
𧳠	貏
